device_student_count_24h,page_dwell_time_seconds,is_high_risk_asn,failed_attempts_1h,session_hardware_mismatch,is_off_peak_hour,target_label
1,49.8,0,0,0,1,0
58,26.4,0,0,0,0,0
18,33.7,1,3,1,1,1
100,41.4,0,0,0,0,0
45,21.7,1,5,1,1,1
112,23.0,1,3,0,1,1
54,21.6,0,1,0,0,0
1,49.3,0,0,0,0,0
17,17.3,1,2,0,0,1
36,4.3,1,2,1,1,1
1,65.6,0,2,0,0,0
1,79.0,0,3,0,1,0
1,81.0,0,0,0,0,0
17,8.8,1,1,1,1,1
86,30.1,0,5,0,1,1
3,71.8,0,0,0,0,0
1,33.6,0,1,0,0,0
1,45.5,0,1,0,0,0
41,27.3,0,2,1,1,1
1,37.7,0,0,0,0,0
1,44.1,0,0,0,0,0
45,2.7,0,4,0,1,1
1,69.7,0,0,0,0,0
30,21.7,0,1,0,0,0
1,63.6,0,0,0,0,0
1,66.3,0,1,0,0,0
1,15.6,0,0,0,0,0
1,34.5,0,1,0,0,0
1,8.0,0,1,0,0,0
51,30.6,1,3,1,1,1
116,25.4,0,2,0,0,0
1,50.2,0,0,0,0,0
1,102.6,0,0,0,0,0
75,19.5,0,0,0,0,0
1,82.3,0,0,0,0,0
116,32.7,1,4,0,1,1
2,91.1,0,0,0,0,0
46,50.0,0,0,0,0,0
1,65.6,0,1,0,0,0
1,51.0,0,0,0,0,0
14,35.0,0,4,1,1,1
1,31.7,0,0,0,0,0
88,36.8,0,0,0,1,0
77,39.4,0,0,0,0,0
75,10.9,1,2,0,1,1
2,65.4,0,0,1,0,0
1,85.7,0,0,0,1,0
5,3.1,0,1,1,1,1
1,39.1,0,0,0,0,0
1,50.9,0,0,0,0,0
36,10.4,1,3,1,1,1
1,21.0,0,1,0,0,0
1,45.3,0,0,1,0,0
3,73.9,0,0,0,0,0
74,26.5,1,3,1,1,1
68,17.0,1,4,0,1,1
2,70.7,0,0,0,0,0
1,66.5,0,1,0,0,0
1,31.5,0,2,0,0,0
74,11.5,1,4,0,1,1
91,15.4,0,1,0,0,1
118,31.8,0,1,0,1,1
1,21.8,0,0,0,0,0
70,6.0,1,5,0,1,1
55,14.7,1,2,0,1,1
17,25.0,1,7,1,0,1
1,130.4,0,0,0,0,0
107,20.5,1,2,0,1,1
1,50.4,0,2,0,1,0
58,3.5,1,1,1,1,1
8,26.7,1,3,1,1,1
79,7.5,0,3,1,0,1
96,9.2,0,5,0,1,1
100,17.4,0,0,0,0,0
57,14.9,0,0,0,0,0
1,44.9,0,0,0,0,0
1,84.2,0,0,0,0,0
1,102.6,1,0,0,0,0
46,26.1,1,5,1,1,1
16,27.5,1,1,0,0,1
1,89.0,0,0,0,0,0
96,18.8,0,0,0,1,0
37,3.1,1,0,1,0,1
1,21.4,0,2,0,0,0
2,74.1,0,0,0,0,0
11,28.5,1,5,0,1,1
15,19.7,0,1,0,0,0
1,45.5,0,0,0,0,0
1,91.2,0,0,0,0,0
1,22.1,0,0,0,0,0
1,58.4,0,0,0,0,0
55,7.2,0,4,0,0,1
2,33.2,0,3,0,0,0
2,86.2,0,1,0,0,0
4,46.0,0,0,0,0,0
33,12.0,0,5,1,0,1
38,34.1,1,4,0,0,1
1,55.7,0,0,0,0,0
1,48.5,0,0,0,0,0
3,47.6,0,1,0,0,0
1,54.3,0,0,0,0,0
1,65.0,0,0,0,0,0
3,29.0,0,0,0,0,0
93,16.0,0,0,1,0,0
25,6.2,1,4,1,1,1
76,20.5,0,4,1,1,1
1,97.0,0,0,0,0,0
85,26.2,0,3,1,1,1
1,61.0,0,0,0,0,0
2,52.0,0,0,0,1,0
1,35.9,0,1,0,0,0
1,93.3,0,2,0,1,0
102,13.2,0,3,1,0,1
1,31.1,1,0,0,0,0
1,52.5,0,2,0,0,0
1,63.7,0,0,0,0,0
4,44.8,0,1,0,0,0
1,90.0,0,1,0,0,0
1,61.3,0,0,0,0,0
1,84.4,0,0,0,0,0
2,112.2,0,2,0,0,0
65,30.5,0,1,1,1,1
2,50.7,0,0,0,0,0
88,4.6,1,5,1,1,1
1,61.2,0,1,0,0,0
29,29.8,1,1,1,1,1
3,55.2,0,0,0,0,0
88,34.7,1,4,1,1,1
1,42.3,0,0,0,0,0
1,91.8,0,0,1,0,0
1,69.0,0,0,0,0,0
1,80.8,0,0,0,0,0
3,52.5,0,0,0,0,0
105,17.6,0,1,0,0,0
1,108.5,0,0,0,0,0
3,9.4,1,2,1,1,1
2,91.5,0,1,0,0,0
1,75.8,0,1,0,0,0
119,28.2,1,2,1,1,1
11,16.6,1,3,1,1,1
1,108.7,1,0,0,0,0
2,67.0,0,2,0,0,0
119,19.9,1,2,1,1,1
1,32.3,0,0,0,0,0
1,82.3,0,0,0,0,0
54,27.8,0,0,0,1,0
2,117.6,0,0,0,0,0
2,22.9,0,0,0,0,0
3,90.0,0,1,0,0,0
1,70.5,0,3,0,0,0
1,86.5,1,0,0,0,0
45,33.9,0,4,0,0,1
1,48.7,0,2,0,0,0
24,40.0,0,1,0,0,0
1,97.2,0,0,0,0,0
5,16.6,1,3,0,1,1
87,28.0,1,1,0,0,1
1,19.2,0,1,0,0,0
1,101.6,0,0,0,0,0
2,46.7,0,0,0,0,0
93,3.1,1,1,0,1,1
55,31.5,0,5,1,1,1
1,66.0,0,0,0,0,0
80,42.1,1,0,0,1,0
2,63.3,0,0,0,0,0
2,49.1,0,0,0,0,0
1,78.3,0,0,0,0,0
15,2.1,1,6,1,1,1
108,32.9,0,0,1,1,1
3,17.9,0,0,0,0,0
1,85.9,0,0,0,0,0
87,17.7,0,0,0,0,0
1,38.9,0,0,0,0,0
111,4.2,1,1,1,0,1
50,37.2,0,0,0,1,0
52,30.3,0,1,0,0,0
1,28.6,0,1,0,0,0
1,25.8,0,0,0,0,0
1,41.5,0,1,0,0,0
1,80.7,0,1,0,0,0
1,63.2,0,0,0,0,0
1,39.0,0,0,0,0,0
114,22.1,1,4,1,1,1
99,21.1,1,2,1,0,1
3,26.7,0,0,0,0,0
84,29.0,1,6,1,0,1
56,32.9,0,2,0,1,0
1,12.3,0,0,0,0,0
38,29.7,0,3,0,1,1
1,39.7,0,1,0,0,0
1,71.2,0,0,0,0,0
29,29.7,1,2,1,0,1
77,27.9,1,0,1,0,1
1,106.2,0,0,0,0,0
33,14.9,0,4,1,1,1
1,37.1,1,0,0,0,0
1,40.0,0,0,0,0,0
12,16.4,1,3,1,0,1
1,100.7,0,1,0,0,0
7,2.8,1,3,1,1,1
24,23.1,0,3,1,1,1
3,62.7,0,0,0,0,0
2,91.7,0,0,0,0,0
1,43.0,0,0,0,0,0
1,40.7,1,0,0,0,0
21,23.5,0,0,0,1,1
1,33.7,0,0,1,0,0
1,54.1,0,3,0,0,0
38,8.4,1,4,1,0,1
93,12.9,0,2,1,1,1
1,52.1,0,1,0,0,0
95,4.0,1,4,1,1,1
2,70.7,0,0,0,0,0
1,102.0,1,0,0,0,0
1,81.9,0,0,0,0,0
116,21.9,0,3,1,1,0
3,8.0,0,0,0,0,0
97,22.6,1,6,0,1,1
1,73.0,0,0,0,0,0
1,100.9,0,0,0,0,0
1,59.9,0,2,0,0,0
44,11.6,1,3,1,1,1
109,22.7,1,2,1,0,1
3,52.6,0,0,0,0,0
1,39.9,0,0,0,0,0
3,29.3,0,1,0,0,0
72,23.7,1,1,0,1,1
1,20.0,0,0,0,0,0
1,69.6,0,0,0,0,0
115,31.0,1,0,0,0,0
1,24.9,0,0,0,0,0
38,2.1,1,1,0,1,1
1,45.4,0,0,0,0,0
2,72.4,0,0,0,1,0
1,86.6,0,0,0,0,0
2,64.3,0,0,0,0,0
2,69.3,0,0,0,0,0
34,34.1,1,2,1,0,1
5,9.6,1,2,1,1,1
1,33.6,0,0,0,0,0
1,8.0,0,0,0,0,0
1,20.0,0,0,1,0,0
2,62.7,0,0,0,0,0
6,7.9,1,2,1,1,1
32,18.6,0,0,0,0,0
3,46.0,0,0,0,0,0
7,28.3,1,5,1,0,1
2,77.9,0,0,0,0,0
81,8.3,1,3,1,1,1
1,88.7,0,0,0,0,0
1,53.6,0,3,0,1,0
2,10.5,0,0,0,0,0
1,82.0,0,0,0,0,0
2,69.1,0,0,0,1,0
1,61.8,0,0,0,0,0
1,8.0,0,2,0,0,0
1,70.5,0,0,0,0,0
1,65.8,0,1,0,0,0
1,47.2,0,0,0,0,0
107,6.4,1,5,0,1,1
61,21.0,0,0,1,1,1
81,48.1,0,0,0,0,0
2,48.1,0,3,0,0,0
1,40.2,1,1,0,0,0
1,25.8,0,1,0,0,0
99,32.6,0,4,1,1,1
1,12.3,0,0,0,0,0
13,33.6,0,0,0,0,0
1,44.4,0,0,0,0,0
1,45.0,0,1,0,0,0
1,48.6,0,2,0,0,0
42,34.9,0,0,0,0,0
1,80.5,0,0,0,0,0
2,39.9,0,0,0,0,0
1,68.5,0,0,0,0,0
7,11.0,1,7,1,1,1
1,39.4,0,1,0,0,0
1,41.3,0,0,0,0,0
3,77.8,0,3,0,1,0
102,2.8,0,1,1,0,1
57,34.3,0,2,0,0,0
1,68.2,0,0,0,0,0
67,12.8,1,1,1,1,1
25,23.3,1,4,1,1,1
2,21.9,1,2,0,0,0
1,77.2,0,0,0,0,0
72,21.6,0,2,0,0,0
48,30.3,0,0,0,0,0
3,65.4,0,1,0,0,0
81,27.1,1,2,0,1,1
69,25.2,0,2,0,1,0
1,47.6,0,0,0,0,0
2,109.3,0,1,0,0,0
79,14.5,0,4,0,0,0
1,34.2,0,0,0,0,0
1,33.2,0,2,0,0,0
75,3.0,1,1,1,1,1
2,30.3,1,0,0,0,0
108,32.6,1,6,1,0,1
81,4.6,1,4,1,0,1
1,59.2,0,0,0,0,0
1,8.1,0,1,0,0,0
41,15.9,0,1,1,0,1
1,28.2,0,0,0,0,0
13,31.5,1,1,1,0,1
88,25.5,0,1,0,1,1
1,72.0,0,0,0,0,0
1,44.8,0,0,0,0,0
1,53.8,0,3,0,0,0
22,21.0,1,7,1,0,1
1,32.0,0,0,0,0,0
1,82.8,0,0,0,0,0
1,80.4,0,0,0,0,0
1,78.8,0,1,0,0,0
50,26.8,1,0,1,0,1
3,65.2,0,1,0,0,0
1,107.3,0,0,0,1,0
1,73.8,0,3,0,0,0
3,79.8,0,0,1,0,0
53,3.6,1,2,1,1,1
3,28.6,0,0,0,0,0
1,45.3,0,0,0,0,0
1,64.8,0,2,1,0,0
1,72.7,0,0,0,0,0
10,22.9,0,0,1,0,0
1,59.1,0,0,0,0,0
1,63.9,0,0,0,0,0
88,27.1,1,3,1,1,1
1,109.8,0,0,0,0,0
2,50.3,0,1,0,0,0
39,18.5,1,3,0,1,1
1,36.5,0,0,0,0,0
1,57.2,0,0,0,0,0
34,32.6,1,4,1,0,1
4,84.9,0,1,0,0,0
1,100.4,0,1,0,0,0
55,3.6,0,4,1,1,1
17,27.4,1,4,0,1,1
71,34.2,1,1,1,1,1
97,16.4,0,4,0,0,1
42,14.6,1,3,1,0,1
1,83.5,0,1,0,0,0
4,79.0,1,0,0,0,0
54,19.3,0,1,0,0,0
3,62.2,0,0,0,0,0
73,28.1,1,1,1,1,1
1,101.6,0,0,0,0,0
1,34.4,0,1,0,0,0
1,77.4,0,0,0,0,0
1,43.8,0,0,0,0,0
1,43.3,1,2,0,0,0
3,116.8,0,0,0,0,0
1,43.2,0,0,0,0,0
1,60.4,0,0,0,0,0
22,16.9,0,0,0,0,0
1,34.4,0,0,0,0,0
1,89.9,1,0,0,0,0
71,9.4,1,5,1,0,1
1,31.8,0,0,0,0,0
97,22.8,0,2,0,0,0
1,38.0,0,0,0,0,0
95,10.8,1,4,0,0,1
1,71.8,0,1,1,0,0
1,81.5,0,0,0,0,0
4,67.8,0,0,0,0,0
16,32.3,1,4,1,1,1
108,33.2,1,2,1,0,1
100,10.9,1,3,1,1,1
1,47.3,1,1,0,0,0
16,16.9,0,3,1,0,1
80,12.2,1,0,1,1,1
47,31.6,0,0,0,0,0
24,4.2,0,6,1,0,1
55,30.3,0,0,0,0,0
1,70.1,0,0,0,0,0
106,13.5,0,4,1,1,1
112,16.6,1,2,1,1,1
8,5.0,1,1,1,0,1
1,88.1,0,0,0,0,0
1,82.8,0,0,0,0,0
1,38.6,0,3,0,0,0
1,94.7,0,1,0,0,0
1,119.9,0,0,0,0,0
1,72.3,0,0,0,0,0
102,27.1,1,4,1,0,1
90,25.6,0,0,0,0,0
1,74.1,0,1,0,0,0
1,66.3,1,0,0,0,0
26,4.4,1,4,0,1,1
1,45.7,1,0,0,0,0
1,30.6,0,2,0,0,0
64,31.0,1,5,0,1,1
1,85.0,0,0,0,0,0
3,38.7,0,0,0,0,0
2,44.1,0,1,0,0,0
89,25.9,1,2,0,0,1
1,69.7,0,0,0,0,0
75,27.6,0,0,0,0,0
67,12.6,0,5,1,1,1
1,39.2,0,0,0,0,0
1,25.5,0,0,0,0,0
1,103.7,0,0,0,0,0
75,40.5,0,2,0,0,0
54,3.1,1,2,1,1,1
1,51.0,0,0,0,0,0
1,36.8,0,0,0,0,0
65,6.4,0,3,0,1,1
4,30.3,0,0,0,0,0
2,41.8,0,1,0,0,0
16,24.9,0,1,0,0,0
13,37.7,0,0,0,0,0
44,4.3,0,2,1,0,1
1,69.1,1,0,0,1,0
1,85.2,0,0,0,0,0
89,6.9,0,4,0,1,1
86,15.9,0,6,1,1,1
73,19.0,0,1,1,0,1
19,21.5,1,2,1,1,1
2,13.7,0,0,0,1,0
1,32.0,0,0,0,0,0
4,26.8,0,0,0,0,0
57,20.0,0,5,1,0,1
65,28.7,1,2,0,1,1
1,38.8,1,0,0,0,0
1,65.5,0,1,0,0,0
2,69.7,0,0,0,0,0
1,60.9,0,0,0,0,0
21,22.8,0,5,1,1,1
1,56.6,0,0,0,0,0
1,68.6,0,0,0,0,0
1,117.0,0,1,0,0,0
1,78.8,1,0,0,0,0
1,70.0,0,1,0,0,0
2,59.8,1,0,0,0,0
57,32.2,1,1,1,0,1
1,82.7,0,0,0,0,0
1,23.8,0,1,0,0,0
106,30.6,1,6,1,0,1
73,14.5,0,2,1,1,1
1,83.8,0,0,0,0,0
72,21.7,0,2,1,1,1
3,46.1,0,0,0,0,0
41,38.5,0,0,0,0,0
3,65.6,0,2,0,0,0
3,53.6,0,2,0,0,0
109,8.6,0,4,1,1,1
1,75.2,0,0,0,0,0
41,16.1,0,2,0,1,1
28,29.8,1,4,1,0,1
57,17.4,1,6,0,1,1
4,38.6,0,0,0,0,0
1,61.6,0,3,0,0,0
1,60.7,1,0,0,0,0
102,45.0,1,1,0,0,0
1,65.0,0,0,1,0,0
1,26.6,0,0,0,0,0
1,73.9,0,0,0,0,0
1,65.4,0,0,0,0,0
30,49.8,0,1,0,0,0
45,12.3,0,1,0,0,0
1,66.6,0,0,0,0,0
1,19.6,0,0,0,0,0
1,13.9,0,0,0,0,0
1,107.2,0,0,0,0,0
65,16.0,0,0,0,0,0
13,28.6,0,2,1,1,1
3,46.8,0,1,0,0,0
79,49.8,0,0,0,0,0
1,133.0,0,0,0,0,0
2,50.1,0,1,0,0,0
89,17.3,1,2,1,1,1
2,54.1,0,0,0,0,0
51,28.2,1,0,0,0,0
48,6.5,1,0,1,0,1
1,37.8,0,1,0,0,0
40,28.7,0,2,0,0,0
93,34.9,1,5,1,0,1
3,43.7,0,0,0,0,0
1,34.7,1,0,0,0,0
1,68.6,0,0,0,0,0
1,66.2,0,0,0,1,0
1,57.2,0,0,0,0,0
3,46.2,0,1,0,0,0
1,65.4,0,1,0,0,0
1,35.4,0,0,0,0,0
3,82.1,0,0,0,0,0
16,16.8,1,5,1,1,1
72,19.9,1,2,1,1,1
1,69.8,1,0,0,0,0
1,81.5,0,0,0,0,0
35,14.6,0,2,1,0,1
1,34.9,0,1,0,0,0
3,63.7,0,0,0,1,0
1,38.7,0,0,0,0,0
33,14.9,1,4,1,1,1
1,77.5,0,0,0,0,0
80,49.3,0,1,0,0,0
1,14.1,0,0,1,0,0
1,45.5,0,0,0,0,0
1,98.4,0,0,0,0,0
1,85.8,0,0,0,0,0
36,13.3,0,2,0,0,0
1,66.6,0,0,0,0,0
1,9.4,0,0,0,0,0
3,83.8,0,0,0,0,0
1,114.9,0,0,0,0,0
1,68.4,0,0,0,0,0
2,101.4,0,0,0,0,0
49,17.4,1,4,1,1,1
1,51.7,0,0,0,0,0
1,60.2,1,0,0,0,0
1,72.5,0,1,0,0,0
2,87.1,0,0,0,0,0
99,26.0,0,1,0,1,0
1,66.5,0,0,0,0,0
75,25.1,1,3,1,1,1
1,37.9,0,0,1,0,0
1,47.9,0,2,1,0,0
1,138.8,0,2,0,0,0
28,25.8,0,1,0,0,0
24,24.3,0,1,0,0,0
1,12.7,0,1,0,0,0
113,18.8,0,2,1,0,0
20,7.0,1,5,0,1,1
1,59.0,0,0,0,0,0
1,54.5,0,0,0,0,0
1,74.6,0,0,0,0,0
107,17.2,0,4,1,1,1
1,71.4,0,0,0,0,0
1,71.5,0,0,0,0,0
59,17.1,1,5,1,1,1
2,53.6,0,0,0,1,0
1,50.1,0,1,0,0,0
1,69.0,0,0,0,0,0
1,21.3,0,1,0,0,0
1,68.5,0,0,0,0,0
1,56.4,0,0,0,0,0
46,18.2,0,2,0,0,0
1,37.7,0,0,0,0,0
1,58.5,0,0,0,0,0
1,14.0,0,0,0,0,0
44,21.5,0,0,0,1,0
91,32.0,1,2,1,1,1
64,32.1,0,0,0,0,0
33,4.0,1,3,1,1,1
3,79.6,0,0,0,0,0
1,32.1,0,0,0,0,0
1,19.2,0,0,0,0,0
1,75.8,0,0,0,0,0
119,7.7,0,0,1,1,1
2,56.5,0,0,0,0,0
2,63.5,0,0,0,0,0
90,45.9,0,0,0,0,0
1,69.9,0,0,0,0,0
117,19.8,0,2,0,0,0
1,31.7,0,0,0,0,0
41,19.2,1,5,1,1,1
54,26.5,0,0,1,0,1
1,30.7,0,1,0,0,0
1,91.9,0,0,0,0,0
38,18.6,1,3,0,0,1
1,66.1,1,2,0,0,0
24,25.5,1,3,1,1,1
104,22.8,0,0,0,0,0
2,8.5,1,3,0,0,1
1,35.9,0,0,0,0,0
22,36.6,0,0,0,0,0
88,14.9,0,0,0,0,0
1,26.6,0,0,0,0,0
1,58.3,0,1,0,0,0
18,15.6,1,4,0,1,1
1,106.7,0,1,0,0,0
92,29.7,1,2,1,1,1
2,8.0,0,1,0,0,0
2,38.6,0,0,0,0,0
1,100.4,0,1,0,0,0
2,86.2,0,1,0,0,0
55,22.4,0,0,0,0,0
2,9.5,0,0,0,0,0
2,85.5,0,0,0,0,0
2,111.9,0,2,0,0,0
85,33.2,1,4,1,0,1
100,31.4,0,4,1,1,1
1,73.6,0,1,0,0,0
70,20.4,0,2,0,0,0
119,41.5,0,3,0,0,0
37,20.8,0,2,0,0,0
14,17.4,0,3,1,0,0
34,11.1,0,4,1,1,1
1,66.3,0,0,0,0,0
98,25.1,0,1,1,1,1
1,110.4,0,1,0,0,0
1,57.6,0,0,0,0,0
30,29.9,1,0,1,1,1
1,30.7,0,0,0,0,0
1,35.3,0,0,0,0,0
1,87.6,0,0,0,0,0
89,25.7,1,5,1,0,1
1,45.1,0,0,0,0,0
2,71.4,1,1,0,0,0
1,42.2,0,0,0,0,0
1,83.4,0,0,0,0,0
1,81.4,0,0,0,0,0
7,14.0,0,4,1,1,1
1,47.5,0,0,0,0,0
1,102.1,0,0,0,0,0
51,30.0,0,0,0,1,0
1,40.5,0,1,0,0,0
1,103.7,0,0,0,0,0
1,71.9,0,0,0,1,0
1,49.4,0,0,0,0,0
1,49.8,0,0,0,0,0
32,34.8,0,3,1,0,1
10,34.1,1,7,0,1,1
1,80.6,0,0,0,0,0
1,90.6,0,0,0,0,0
1,42.8,0,0,0,0,0
56,2.7,0,3,1,1,1
100,31.7,1,7,1,0,1
3,83.4,0,0,0,1,0
1,67.2,0,0,0,0,0
13,28.8,0,1,1,1,1
1,80.5,1,0,0,0,0
2,24.2,0,0,0,0,0
7,28.1,1,0,0,1,1
1,60.7,0,0,0,0,0
34,6.0,1,1,1,1,1
13,20.0,1,4,0,1,1
77,21.4,0,5,1,1,1
45,21.2,0,3,0,1,1
10,20.5,0,4,1,1,1
1,17.3,0,0,0,0,0
22,46.6,0,0,0,0,0
20,6.3,1,1,1,1,1
1,45.9,0,0,0,0,0
24,23.3,1,0,1,0,1
1,62.1,0,1,0,0,0
1,71.6,0,0,0,0,0
1,9.6,0,0,0,0,0
1,57.8,0,0,0,0,0
3,23.9,0,0,0,0,0
1,58.5,0,0,0,0,0
1,81.8,0,0,0,0,0
1,47.4,0,0,0,0,0
1,62.7,0,0,0,0,0
2,57.3,0,0,0,0,0
1,49.7,0,0,0,0,0
1,55.3,1,0,0,0,0
1,64.8,0,0,1,0,0
1,40.0,1,2,0,0,0
24,12.9,0,2,0,0,0
92,8.0,0,3,1,1,1
1,27.5,0,0,0,0,0
1,69.9,0,0,0,0,0
106,27.6,0,5,0,1,1
1,72.9,0,0,0,0,0
14,19.6,1,1,1,0,1
30,26.1,1,3,0,1,1
64,33.5,1,1,1,0,1
19,13.9,0,0,0,0,0
1,62.0,0,0,0,0,0
1,63.2,0,0,0,0,0
23,8.1,0,2,0,0,1
89,10.8,1,3,1,1,1
36,13.7,1,2,1,1,1
2,32.5,0,0,0,0,0
5,33.4,1,5,1,1,1
1,51.3,0,0,0,0,0
115,18.1,0,0,1,0,0
1,67.4,0,0,0,0,0
57,13.0,1,3,1,0,1
59,34.8,0,3,0,0,1
1,76.1,0,1,0,0,0
70,14.5,0,1,1,0,1
1,58.3,0,0,0,0,0
1,11.3,0,3,0,0,0
23,27.4,1,1,1,1,1
1,55.6,0,0,0,0,0
31,30.7,0,2,1,1,1
58,45.9,0,0,0,0,0
13,29.4,1,5,1,0,1
3,56.8,0,2,0,0,0
20,27.5,1,6,1,1,1
2,64.4,0,0,0,0,0
14,11.9,0,6,0,1,1
3,52.6,0,1,0,0,0
2,74.6,0,0,0,0,0
1,42.4,0,0,0,0,0
2,8.0,0,1,0,0,0
2,92.0,0,0,0,1,0
52,31.3,0,3,1,0,1
98,16.5,1,3,0,0,1
1,36.8,0,1,0,0,0
1,74.6,0,0,0,0,0
1,70.8,0,0,0,0,0
1,48.5,0,1,0,0,0
1,81.2,0,0,0,0,0
1,8.0,0,0,0,0,0
1,92.8,0,2,0,0,0
35,14.6,1,5,1,1,1
62,32.8,1,4,0,1,1
1,90.9,0,0,0,0,0
109,25.8,0,1,0,0,0
2,72.7,0,0,0,0,0
29,19.4,0,1,0,0,0
36,5.6,0,1,0,1,1
1,36.2,0,0,0,0,0
5,17.9,0,1,1,0,1
6,30.2,1,4,1,0,1
1,112.4,0,0,0,0,0
57,13.6,1,4,0,0,1
2,86.8,0,2,0,0,0
107,9.2,0,3,1,1,1
1,100.6,0,0,0,0,0
65,13.7,0,4,1,0,1
1,68.1,0,0,0,0,0
55,10.1,1,5,1,0,1
67,46.1,0,0,0,0,0
57,22.8,0,0,0,0,0
1,50.9,0,0,0,0,0
1,60.9,0,1,0,0,0
3,46.3,0,0,0,0,0
